Area_sqft,Bedrooms,Bathrooms,Floors,Age,Garage,Balcony,Furnished,Garden,SwimmingPool,DistanceToCity,NearbySchools,NearbyHospitals,CrimeRate,PopulationDensity,PublicTransportScore,PropertyTax,LocationRating,ElectricityBackup,SecurityRating,Price
3385,3,1,2,51,0,0,1,1,0,5.7,9,1,8.9,6889,8,1.28,6,0,7,18503869
2952,6,3,1,53,1,1,0,1,0,35.8,5,1,2.3,63267,10,0.61,7,1,6,16625744
2519,1,3,3,6,1,0,1,1,1,46.8,2,0,9.6,50474,6,3.89,7,1,1,10504002
985,3,1,1,46,1,1,0,0,0,13.3,6,5,5.7,25968,5,1.72,5,1,6,8489832
6772,5,4,2,43,1,0,1,1,1,24.6,7,6,6.5,37364,4,2.02,4,1,8,30232740
1831,6,3,3,59,0,1,1,1,0,30.3,9,5,1.3,32440,5,2.99,6,1,2,13476517
3994,3,3,3,19,1,0,1,1,0,13.2,1,0,3.7,5506,2,1.96,7,0,1,20232260
5190,3,4,3,50,0,0,1,1,1,36.0,6,3,1.8,64967,6,2.18,5,1,6,23020675
6842,3,4,4,45,1,1,1,1,1,40.8,5,4,6.8,77642,6,2.38,10,0,4,32179410
3268,3,3,4,40,1,0,0,0,1,24.5,4,4,9.8,55884,6,3.71,7,1,10,18237485
1836,3,2,4,7,0,1,1,1,1,41.6,6,6,9.5,34146,10,2.01,10,0,3,13064658
525,5,2,3,24,0,0,0,0,1,30.1,2,0,2.0,7856,8,3.97,5,0,9,8493064
1874,3,4,2,48,1,1,1,0,1,39.9,5,6,7.2,77895,2,3.64,4,1,3,8601437
6789,1,3,3,48,1,0,0,1,1,9.7,2,0,2.3,46930,3,4.43,5,0,2,28787072
7171,3,4,2,55,0,0,0,1,1,36.3,4,0,3.7,29543,6,2.96,6,1,3,29579648
5872,3,1,2,0,0,1,1,0,0,6.9,2,1,2.7,22649,5,1.96,1,1,4,23396974
7118,5,2,1,3,0,1,1,0,0,47.6,4,4,9.3,39165,1,1.35,4,0,6,25319960
3414,6,5,4,19,0,1,1,1,1,31.4,9,3,3.7,70556,7,2.38,1,0,8,17430030
7008,1,3,2,50,0,1,1,0,0,40.3,0,3,3.3,3415,4,2.78,9,0,10,28903503
882,2,1,3,26,1,0,0,1,1,10.6,10,2,2.7,36527,3,2.75,4,0,6,9866136
1596,6,1,1,59,1,1,0,1,0,28.5,7,5,1.1,42628,5,2.59,5,0,6,10536851
7954,3,4,3,40,1,1,1,1,0,41.8,8,2,8.1,10750,10,2.33,10,0,2,34355862
5408,1,5,4,49,0,1,1,0,1,18.9,0,5,4.2,54723,9,1.09,9,0,5,28061381
5310,4,4,1,19,0,1,0,1,0,10.2,8,8,1.9,44911,2,0.97,10,0,4,29869939
3102,5,4,1,48,1,0,0,1,0,42.7,1,5,5.2,10320,2,0.79,6,1,4,13440781
7271,5,4,1,53,0,0,1,1,1,28.0,8,0,8.1,43027,9,0.58,3,0,4,28180932
5267,4,5,3,55,1,0,1,0,0,2.4,3,2,7.3,27647,5,2.15,9,1,4,28113013
4543,6,4,1,4,1,0,1,0,1,30.4,7,0,1.4,64803,3,2.97,7,0,8,24285890
6676,5,5,4,55,1,0,1,1,0,39.0,3,4,8.9,61119,5,3.78,7,0,5,26636969
1597,3,1,1,39,1,1,0,1,0,26.0,2,1,7.9,31071,5,2.38,4,0,7,6906221
6596,1,4,4,43,1,1,1,0,0,34.8,1,5,9.3,11375,8,2.46,3,1,5,23932464
7307,3,1,2,30,0,1,0,1,1,32.9,1,6,1.2,73589,4,1.89,1,1,6,28084947
5033,2,4,4,0,0,1,1,1,0,0.9,5,3,6.1,47967,3,3.18,6,0,8,27257289
5757,3,4,1,32,0,1,0,0,1,38.8,9,2,8.8,2538,7,2.38,4,0,6,22498695
2001,1,5,4,48,0,1,0,1,1,48.5,2,7,5.0,40904,3,2.93,6,1,1,8990251
901,5,4,2,18,1,1,1,1,0,43.5,1,8,7.4,21929,7,0.74,4,0,7,5189649
2873,3,4,1,48,0,0,1,1,0,35.9,3,4,2.5,54298,7,4.21,3,1,1,11989526
6927,2,2,2,27,1,0,1,0,0,43.3,6,0,1.2,11153,10,2.3,3,0,7,26301773
1560,6,1,1,52,1,1,1,0,0,1.5,1,8,4.5,62064,8,3.19,2,0,4,9967549
2201,1,3,3,56,0,0,0,0,0,43.4,2,1,9.8,27521,4,3.89,5,1,2,4676338
801,4,1,2,29,0,1,0,0,0,9.2,2,8,8.3,32739,2,2.03,7,0,4,8542189
